name,mission
"
SGO-Stiftung in Liquidation ","
Promotion of organizational sciences and their practical application.
"
"
Gretel und Walter Picard-Weil Stiftung ","Fulfillment of charitable and cultural tasks; Alignment of donations, in particular alleviation of human misery, care for children, young people, elderly people, the sick, disabled and infirm, training, further education and promotion of less well-off people as well as promotion of intellectual, scientific, cultural and artistic creation.
"
"
Dr. B.K. Bose Stiftung ","
Mediation and promotion of classical homeopathy in Switzerland, as taught by Samuel Hahnemann, later JT Kent and BK Bose and today Mohinder Singh teaches Jus; complete description of the purpose according to the deed of foundation
"
"
ARCHICULTURA, Stiftung fur Orts- und Landschaftsbildpflege ","
Standing up for intact, harmonious, traditional, local, native towns and landscapes; Consideration, maintenance, promotion and development of the traditional, locally typical, native construction methods and building cultures; holistic view of the town and landscape images; Incorporation of buildings and facilities into the traditional, locally typical, home town and landscape images; Promotion of general aesthetic clauses (prohibition of defacement, prohibition of impairment and in particular the requirement of integration); preventing defacement and architectural chaos; Reincorporation or improvement of degrading structures and facilities.
"
"
Romisch-katholische Sigristenpfrundstiftung Ingenbohl-Brunnen ","
The purpose of the foundation is to enable the Roman Catholic Church to exercise pastoral care in the area of the parish of Ingenbohl-Brunnen, which is under canonical law, and to enable the Roman Catholic residents of this parish area to fulfill their ecclesiastical and religious duties by making the other ecclesiastical properties available as well as through the to facilitate corresponding income. It guarantees the Roman Catholic cult and, as far as possible, contributes to the maintenance of the ecclesiastical goods made available within the framework of proper administration. In particular, the Sigristenpfrundstiftung makes its assets and their earnings available to the holder of the church office in question, which is connected to the foundation, as a benefit. This applies to both personnel and material requirements. In particular, the Sigristenpfrundstiftung contributes within the framework of the ordinary administration to the remuneration of the clergyman appointed to the church office or the parish administrator appointed by the diocesan bishop during the duration of his office. The financing of the material needs of the church office is ensured by the patronage obligation of the members of the parish. In addition, the purpose as well as the ordinary resp. extraordinary administration of the Sigristenpfrundstiftung in canon law.
"
"
Universitatsstiftung Basel ","
The purpose of the foundation is to finance the tasks, activities and projects of the University of Basel.
"
"
Fondation Tashipaljor ","
Ensure the sustainability of the cultural, artistic and spiritual projects of the Tibetan Buddhist monastery of Shechen, located in Kathmandu in Nepal, and of the subsidiaries located in Bhutan, India and Tibet (China).
"
"
Stiftung Alterssiedlung Belp ","
The purpose of the foundation is the creation and operation of living spaces and the provision of services for the elderly. The purpose of the foundation can be achieved by building new buildings on its own land or under building law, by converting existing buildings, by renting or buying real estate, and by participating in companies and organizations with the same or similar purpose. The foundation is active in the Belp region as part of its purpose. The foundation has to work self-supporting or profitable. The foundation's profit and capital are dedicated exclusively to the aforementioned purpose.
"
"
Stiftung St. Raphaelsheim ","
Operation of a home for physically and mentally frail children or for children who require special upbringing or training for other reasons. The foundation can run the home itself or transfer the operation to another foundation.
"
"
La Fondation Pugwash pour la Science et les Relations Internationales ","
provide financial assistance to the founder's activities, namely the  Pugwash Conferences for Science and International Relations .
"
"
EVISTA Stiftung ","
The EVISTA Foundation provides services and supports projects in the health sector, preferably, but not exclusively, in outpatient and inpatient care. The EVISTA Foundation also provides services and supports projects with an ecological goal, for the direct or indirect promotion of the environment and / or the health of people and nature. All services and projects can be implemented worldwide. It is the intention to support projects especially in developing countries. The support can be implemented in the form of financial resources or in the form of operational management or in the form of consulting mandates and other measures. In addition to cash and services, the donation of material assets (e.g. machines, buildings, land, etc.) is also planned. The EVISTA Foundation does not pursue a profit-making purpose and does not seek any profit.
"
"
Fondation Clemence ","
create and operate one or more establishments or contribute to the financing of an establishment in the canton of Vaud, intended to receive elderly people requiring continuous monitoring and / or care, with the exception of those whose state of health requires the hospital stay.
"
"
Margot und Jost Limmacher-Leo Stiftung ","
With the proceeds of the foundation's assets, the horse home Le Roselet of the Foundation for Horses in Les Breuleux will be supported; if this institution expires, the entitlement to the Societe de la protection des animaux in Geneva; the property at Sternmattstrasse 32, 6005 Lucerne, is to be rented out as best as possible and to be well maintained structurally and horticultural at the expense of the foundation; the property in New Stockach in Muhlacker may not be built over; it remains part of the foundation; If necessary, it can be used by the city of Muhlacker as a zoo or for an animal shelter.
"
